,Fuel,variable,value
0,Black_coal,1995,106089.6
1,Brown_coal,1995,39427.0
2,Natural_gas,1995,12445.0
3,Oil_products,1995,2805.0
4,Other,1995,
5,Bagasse_wood,1995,670.0
6,Biogas,1995,258.0
7,Wind,1995,7.0
8,Hydro,1995,15731.0
9,Large_scale_solar_PV,1995,
10,Small_scale_solar_PV,1995,23.4
11,Geothermal,1995,
12,Black_coal,1996,109452.2
13,Brown_coal,1996,41893.0
14,Natural_gas,1996,11426.0
15,Oil_products,1996,2175.0
16,Other,1996,
17,Bagasse_wood,1996,670.0
18,Biogas,1996,295.0
19,Wind,1996,7.0
20,Hydro,1996,16852.0
21,Large_scale_solar_PV,1996,
22,Small_scale_solar_PV,1996,27.8
23,Geothermal,1996,
24,Black_coal,1997,116969.5
25,Brown_coal,1997,46633.0
26,Natural_gas,1997,12934.0
27,Oil_products,1997,1821.0
28,Other,1997,
29,Bagasse_wood,1997,670.0
30,Biogas,1997,359.0
31,Wind,1997,8.0
32,Hydro,1997,15733.0
33,Large_scale_solar_PV,1997,
34,Small_scale_solar_PV,1997,33.5
35,Geothermal,1997,
36,Black_coal,1998,118586.3
37,Brown_coal,1998,49703.0
38,Natural_gas,1998,16001.0
39,Oil_products,1998,1729.0
40,Other,1998,
41,Bagasse_wood,1998,674.0
42,Biogas,1998,459.0
43,Wind,1998,28.0
44,Hydro,1998,16563.0
45,Large_scale_solar_PV,1998,
46,Small_scale_solar_PV,1998,37.7
47,Geothermal,1998,
48,Black_coal,1999,123833.5
49,Brown_coal,1999,50200.0
50,Natural_gas,1999,16245.0
51,Oil_products,1999,1784.0
52,Other,1999,
53,Bagasse_wood,1999,685.0
54,Biogas,1999,449.0
55,Wind,1999,58.0
56,Hydro,1999,16720.0
57,Large_scale_solar_PV,1999,
58,Small_scale_solar_PV,1999,43.5
59,Geothermal,1999,
60,Black_coal,2000,134264.0
61,Brown_coal,2000,52223.0
62,Natural_gas,2000,17271.0
63,Oil_products,2000,2044.0
64,Other,2000,
65,Bagasse_wood,2000,633.0
66,Biogas,2000,12.0
67,Wind,2000,210.0
68,Hydro,2000,16933.0
69,Large_scale_solar_PV,2000,
70,Small_scale_solar_PV,2000,50.0
71,Geothermal,2000,
72,Black_coal,2001,116774.7
73,Brown_coal,2001,56493.0
74,Natural_gas,2001,31730.0
75,Oil_products,2001,2446.0
76,Other,2001,
77,Bagasse_wood,2001,669.0
78,Biogas,2001,281.0
79,Wind,2001,364.0
80,Hydro,2001,16054.0
81,Large_scale_solar_PV,2001,
