Region,Asset Type, Site Name , Owner , Technology Type , Fuel Type , DUID ,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId, AEMO KCI Id , Survey Last Requested ,Survey Version DateTime
 NSW1 ,Existing Plant,133 Castlereagh St,Cogent Energy Pty Ltd, Reciprocating Engine - Compression ignition ,Fossil - Natural Gas,,1,,1,,1,1,, In Service ,NS,,,,Existing less Announced Withdrawal, Gas other ,2066,,,
 VIC1 ,Existing Plant,990 Latrobe St,Cogent Energy Pty Ltd, Reciprocating Engine - Compression ignition ,Fossil - Natural Gas Pipeline,,1,0.39,0.39,0.39,0.39,0.39,, In Service ,NS,,2027,,Existing less Announced Withdrawal, Gas other ,1367,,Mar-22,27/03/2023
 QLD1 ,Project,Abermain BESS,FIrm Power P/L, Storage - Battery ,Other - Other,,1,200,200,200,200,200,0, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2489,Q00086,Jan-24,
 SA1 ,Existing Plant,Adelaide Airport,Adelaide Airport Ltd, Solar PV - Fixed ,Solar - Solar,,16,,0.06,,0.96,0.96,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,1536,,Sep-22,
 SA1 ,Existing Plant,Adelaide Airport,Adelaide Airport Ltd, Solar PV - Fixed ,Solar - Solar,,2,,0.02,,0.04,0.04,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,1536,,Sep-22,
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar,ADPPV1,4,,2.75,,11,11,, In Service ,SS,May-22,2041,,Existing less Announced Withdrawal, Solar ,1844,,Feb-24,18/03/2024
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Storage - Battery ,Other - Other,ADPBA1G,1,,6.27,,6.27,6.27,12.6, In Service ,S,May-22,2041,,Existing less Announced Withdrawal, Battery Storage ,1844,,Feb-24,18/03/2024
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar,ADPPV2,4,,3.43,,13.72,13.72,, In Service ,NS,Jul-22,2041,,Existing less Announced Withdrawal, Solar ,1844,,Feb-24,18/03/2024
 SA1 ,Existing Plant,Adelaide Zoo Solar System,TBA, Solar PV - Fixed ,Solar - Solar,,1,,0.15,,0.15,0.15,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2067,,,
 VIC1 ,Existing Plant,Aeroten Leongatha Solar,TBA, Solar PV - Fixed ,Solar - Solar,,1,,0.2,,0.2,0.2,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2068,,,
 VIC1 ,Project,Alberton Wind Farm,Synergy Wind Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,34,3.6,3.6,122.4,122.4,122.4,, Publicly Announced ,SS,,,,Proposed, Wind ,1547,,Jan-24,
 NSW1 ,Existing Plant,Albury Renewable Energy Facility,LMS Energy Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,,1,1.12,1.12,1.12,1.12,1.12,, In Service ,NS,,2037,,Existing less Announced Withdrawal, Biomass ,1355,,Apr-21,4/05/2022
 QLD1 ,Existing Plant,Aldi Brendale,TBA, Solar PV - Fixed ,Solar - Solar,,1,,0.93,,0.93,0.93,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2069,,,
 QLD1 ,Project,Aldoga BESS Stage 1,Acciona Energy Australia Global, Storage - Battery ,Other - Other,,1,200,400,200,400, 200.00 - 400.00 ,400, Anticipated ,S,Nov-25,2049,,Anticipated, Battery Storage ,2591,Q00118,May-24,3/06/2024
 QLD1 ,Project,Aldoga Solar Farm,Acciona Energy Australia Global Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,157,3.41,3.41,535.21,535.21,535.21,, Publicly Announced ,SS,,,,Proposed, Solar ,1509,Q00036,May-23,19/03/2024
 VIC1 ,Project,Altona BESS,Ausnet Transmission Group Pty Ltd, Storage - Battery ,Other - Other,,1,,100,,100,100,200, Publicly Announced ,S,Mar-27,,,Proposed, Battery Storage ,2435,V00085,May-24,31/05/2024
 SA1 ,Existing Plant,Angaston,Snowy Hydro Ltd, Reciprocating Engine - Compression ignition ,Fossil - Diesel,ANGAST1,1,,14.4,,14.4,14.4,, In Service ,S,,2070,,Existing less Announced Withdrawal, Other ,1002,,Feb-24,13/03/2024
 SA1 ,Existing Plant,Angaston,Snowy Hydro Ltd, Reciprocating Engine - Compression ignition ,Fossil - Diesel,ANGAST1,1,,21.6,,21.6,21.6,, In Service ,S,,2070,,Existing less Announced Withdrawal, Other ,1002,,Feb-24,13/03/2024
 NSW1 ,Existing Plant,Appin,EDL CSM NSW Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Waste Coal Mine Gas,APPIN,54,,1.03,,55.62,55.62,, In Service ,NS,,2036,,Existing less Announced Withdrawal, Gas other ,1003,,Apr-23,18/04/2023
 NSW1 ,Project,Apsley BESS Project, ACENergy Pty Ltd , Storage - Battery ,Other - Other,,1,120,120,120,120,120,260, Publicly Announced ,S,,,,Proposed, Battery Storage ,2200,N00063,May-23,20/03/2023
 NSW1 ,Project,Aquila Wind,ACEN Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,1, -   ,340, -   ,340,340,, Publicly Announced ,SS,,,,Proposed, Wind ,1957,N00038,May-23,9/06/2023
 QLD1 ,Project,Aramara Solar Farm,Aramara Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,,101.4,,101.4,101.4,, Anticipated ,SS,Jun-26,2048,,Anticipated, Solar ,1426,,May-24,3/06/2024
 VIC1 ,Existing Plant,Ararat Wind Farm,Ararat Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,ARWF1,75,,3.2,,240,240,, In Service ,SS,,2047,,Existing less Announced Withdrawal, Wind ,1462,,Feb-24,23/02/2024
 NSW1 ,Project,Argyle Solar Farm,Argyle Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,,59.8,,59.8,59.8,, Publicly Announced ,SS,,,,Proposed, Solar ,1947,,May-24,4/06/2024
 NSW1 ,Project,Armidale BESS,VALENT ENERGY DEVELOPMENTS PTY LTD, Storage - Battery ,Other - Other,,1,,150,,150,150,300, Publicly Announced ,S,May-26,2045,,Proposed, Battery Storage ,2512,,May-24,13/03/2024
 NSW1 ,Project,Armidale Big BESS,ACEnergy Pty Ltd, Storage - Battery ,Other - Other,,142,2.82,2.82,400.44,400.44,400.44,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2648,N00152,,
 SA1 ,Project,Augusta BESS,Trina Solar (Australia) Pty Ltd, Storage - Battery ,Other - Other,,1,403,403,403,403,403,403, Publicly Announced ,S,,,,Proposed, Battery Storage ,2744,,,19/04/2024
 SA1 ,Project,Aurora Solar Energy Project - Phase 1,SiliconAurora, Storage - Battery ,Other - Other,,1,140,140,140,140,140,140, Publicly Announced ,S,,2052,,Proposed, Battery Storage ,1390,,May-23,23/03/2023
 VIC1 ,Project,AusNet Services Deakin University Victoria Geelong PV Plant,AusNet Services Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,,7.25,,7.25,7.25,, Publicly Announced ,TBA,,,,Proposed, Solar ,1721,,Jan-24,
 SA1 ,Project,Australia Plains Solar Farm,UPC-AC, Solar PV - Single axis tracking ,Solar - Solar,,1, -   ,200, -   ,200,200,, Publicly Announced ,SS,,,,Proposed, Solar ,1952,S00015,May-23,5/04/2023
 NSW1 ,Existing Plant,Avonlie Solar Farm,Iberdrola Australia Limited, Solar PV - Single axis tracking ,Solar - Solar,AVLSF1,70, -   ,3.63, -   ,254.1,254.1,, In Service ,SS,Nov-23,2058,,Existing less Announced Withdrawal, Solar ,1715,,Feb-24,14/03/2024
 NSW1 ,Existing Plant,Awaba,LMS Energy Pty Ltd, Reciprocating Engine - Spark ignition ,Other - Other,AWABAREF,1,,0.85,,0.85,0.85,, In Service ,NS,,2040,,Existing less Announced Withdrawal, Other ,1004,,Sep-22,30/09/2022
 VIC1 ,Project,Axedale Solar Farm,UPC Renewables Australia, Solar PV - Single axis tracking ,Solar - Solar,,1, -   ,140, -   ,140,140,, Publicly Announced ,SS,,,,Proposed, Solar ,1958,V00025,May-23,9/06/2023
 VIC1 ,Project,Axedale Solar Farm,UPC Renewables Australia, Storage - Battery ,Other - Other,,1,,50,,50,50,100, Publicly Announced ,S,,,,Proposed, Battery Storage ,1958,V00025,May-23,9/06/2023
 VIC1 ,Existing Plant,Bairnsdale,Alinta DEBO, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BDL01,1,,47,,47,47,, In Service ,S,,2042,,Existing less Announced Withdrawal, OCGT ,1005,,Feb-24,13/03/2024
 VIC1 ,Existing Plant,Bairnsdale,Alinta DEBO, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BDL02,1,,47,,47,47,, In Service ,S,,2042,,Existing less Announced Withdrawal, OCGT ,1005,,Feb-24,13/03/2024
 VIC1 ,Project,Bairnsdale BESS,Bison Energy, Storage - Battery ,Other - Other,,1,,85,,85,85,85, Publicly Announced ,S,,,,Proposed, Battery Storage ,2263,,May-23,14/12/2022
 NSW1 ,Existing Plant,Bakers Maison,TBA, Solar PV - Fixed ,Solar - Solar,,1,,0.23,,0.23,0.23,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2070,,,
 QLD1 ,Project,Baking Board Battery Storage - KCI, Solar Projects Australia Pty Ltd, Storage - Battery ,Solar - Solar,,1,400,400,400,400,400,0, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2278,Q00018,Sep-23,
 QLD1 ,Project,Baking Board BESS (MMT),MMT Projects T/A Renewable Projects Management, Storage - Battery ,Other - Other,,1,300,300,300,300,300,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2679,Q00144,,
 QLD1 ,Project,Baking Board Solar Farm - KCI, Solar Projects Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1,250,250,250,250,250,, Publicly Announced ,TBA,,,,Proposed, Solar ,2277,Q00018,Sep-23,
 QLD1 ,Project,Baking Board Solar Farm (MMT),MMT Projects T/A Renewable Projects Management, Solar PV - Fixed ,Solar - Solar,,1,300,300,300,300,300,, Publicly Announced ,SS,,,,Proposed, Solar ,2678,Q00144,,
 QLD1 ,Existing Plant,Baking Board Solar Farm Chinchilla,Chinchilla Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,14.7,14.7,14.7,14.7,14.7,, In Service ,NS,Sep-18,2044,,Existing less Announced Withdrawal, Solar ,1642,,Sep-22,18/03/2024
 VIC1 ,Existing Plant,Bald Hills Wind Farm,Bald Hills Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,BALDHWF1,52,,2.05,,106.6,106.6,, In Service ,SS,,2040,,Existing less Announced Withdrawal, Wind ,1006,,Feb-24,5/03/2024
 NSW1 ,Project,Baldon Wind Farm,Baldon Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,45,8,8,360,360,360,, Publicly Announced ,SS,,,,Proposed, Wind ,2213,N00082,May-23,4/03/2024
 NSW1 ,Project,Baldon Wind Farm Stage 2,Baldon Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,130,8,8,"1,040.00","1,040.00","1,040.00",, Publicly Announced ,SS,,,,Proposed, Wind ,2595,N00138,Jan-24,4/03/2024
 NSW1 ,Project,Baldon Wind Farm Stage 2 - BESS,Baldon Wind Farm Pty Ltd, Storage - Battery ,Other - Other,,125,4,4,500,500,500,1000, Publicly Announced ,S,,,,Proposed, Battery Storage ,2596,N00138,Jan-24,4/03/2024
 VIC1 ,Existing Plant,Ballarat,LMS ENERGY Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,,2,,0.79,,1.58,1.58,, In Service ,NS,,2042,,Existing less Announced Withdrawal, Biomass ,1340,,Sep-22,30/09/2022
 VIC1 ,Existing Plant,Ballarat Base Hospital Plant,Ballarat Health Services, Reciprocating Engine - Compression ignition ,Fossil - Diesel,BBASEHOS,2,0.8,0.8,1.6,1.6,1.6,0, In Service ,NS,,,,Existing less Announced Withdrawal, Other ,1007,,Apr-21,22/04/2024
 VIC1 ,Existing Plant,Ballarat Energy Storage System,Ausnet Transmission Group Pty Ltd, Storage - Battery ,Other - Other,BALBG1,1,,30,,30,30,30, In Service ,S,,2033,,Existing less Announced Withdrawal, Battery Storage ,1469,,Feb-24,22/02/2024
 QLD1 ,Project,Banana Range Wind Farm,Orange Creek Energy Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,54, -   ,6, -   ,324,324,, Publicly Announced ,SS,Dec-26,2057,,Proposed, Wind ,1986,Q00041,May-24,3/06/2024
 QLD1 ,Project,Banana Range Wind Farm,Orange Creek Energy Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,38, -   ,6, -   ,228,228,, Publicly Announced ,SS,Dec-26,2056,,Proposed, Wind ,1986,Q00041,May-24,3/06/2024
 NSW1 ,Existing Plant,Bango 973 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust, Wind Turbine - Onshore ,Wind - Wind,BANGOWF1,30,5.3,5.3,159,159,159,, In Service ,SS,Sep-22,2045,,Existing less Announced Withdrawal, Wind ,1282,,Feb-24,15/03/2024
 NSW1 ,Existing Plant,Bango 999 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust, Wind Turbine - Onshore ,Wind - Wind,BANGOWF2,16, -   ,5.3, -   ,84.8,84.8,, In Service ,SS,Sep-22,2045,,Existing less Announced Withdrawal, Wind ,1843,,Feb-24,15/03/2024
 VIC1 ,Existing Plant,Banimboola,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water,BAPS,1, -   ,2.2, -   ,2.2,2.2,, In Service ,NS,,2057,,Existing less Announced Withdrawal, Water ,1008,,Mar-22,7/03/2024
 VIC1 ,Existing Plant,Banimboola,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water,BAPS,1, -   ,10, -   ,10,10,, In Service ,NS,,2057,,Existing less Announced Withdrawal, Water ,1008,,Mar-22,7/03/2024
 QLD1 ,Project,Banksia Solar Farm,Venn Energy Pty / Banksia Solar Project Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,16,,4.4,,70.4,70.4,, Anticipated ,SS,,,,Anticipated, Solar ,2578,,May-24,7/06/2024
 NSW1 ,Existing Plant,Bankstown Sports Club,Bankstown Sports Club, Reciprocating Engine - Compression ignition ,Fossil - Diesel,BANKSPT1,1,,0.8,,0.8,0.8,, In Service ,NS,,,,Existing less Announced Withdrawal, Other ,1009,,,
 NSW1 ,Existing Plant,Bankstown Sports Club,Bankstown Sports Club, Reciprocating Engine - Compression ignition ,Fossil - Diesel,BANKSPT2,1,,1.34,,1.34,1.34,, In Service ,NS,,,,Existing less Announced Withdrawal, Other ,1009,,,
