,Region,Asset Type, Site Name , Owner , Fuel Type ,Number of Units,Upper Nameplate Capacity (MW),Nameplate_Capacity,Storage Capacity (MWh),Unit Status,Fuel_Bucket_Summary,variable,specificYear
0,SA,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation,Solar - Solar,4,2.75,11,, In Service , Solar ,Full Commercial Use Date,2022.0
1,SA,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation,Other - Other,1,6.27,6.27,12.6, In Service , Battery Storage ,Full Commercial Use Date,2022.0
2,SA,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation,Solar - Solar,4,3.43,13.72,, In Service , Solar ,Full Commercial Use Date,2022.0
3,QLD,Project,Aldoga BESS Stage 1,Acciona Energy Australia Global,Other - Other,1,400, 200.00 - 400.00 ,400.0, Anticipated , Battery Storage ,Full Commercial Use Date,2025.0
4,QLD,Project,Aramara Solar Farm,Aramara Solar Pty Ltd,Solar - Solar,1,101.4,101.4,, Anticipated , Solar ,Full Commercial Use Date,2026.0
5,NSW,Project,Armidale BESS,VALENT ENERGY DEVELOPMENTS PTY LTD,Other - Other,1,150,150,300.0, Publicly Announced , Battery Storage ,Full Commercial Use Date,2026.0
6,NSW,Existing Plant,Avonlie Solar Farm,Iberdrola Australia Limited,Solar - Solar,70,3.63,254.1,, In Service , Solar ,Full Commercial Use Date,2023.0
7,QLD,Existing Plant,Baking Board Solar Farm Chinchilla,Chinchilla Solar Pty Ltd,Solar - Solar,1,14.7,14.7,, In Service , Solar ,Full Commercial Use Date,2018.0
8,QLD,Project,Banana Range Wind Farm,Orange Creek Energy Pty Ltd,Wind - Wind,54,6,324,, Publicly Announced , Wind ,Full Commercial Use Date,2026.0
9,QLD,Project,Banana Range Wind Farm,Orange Creek Energy Pty Ltd,Wind - Wind,38,6,228,, Publicly Announced , Wind ,Full Commercial Use Date,2026.0
10,NSW,Existing Plant,Bango 973 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust,Wind - Wind,30,5.3,159,, In Service , Wind ,Full Commercial Use Date,2022.0
11,NSW,Existing Plant,Bango 999 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust,Wind - Wind,16,5.3,84.8,, In Service , Wind ,Full Commercial Use Date,2022.0
12,VIC,Existing Plant,Bannerton Solar Park,Foresight Solar Australia Pty Ltd,Solar - Solar,40,2.5,100,, In Service , Solar ,Full Commercial Use Date,2019.0
13,SA,Existing Plant,Barker Inlet Power Station,AGL Barker Inlet Pty Ltd,Fossil - Natural Gas Pipeline,12,17.5,210,, In Service , Gas other ,Full Commercial Use Date,2020.0
14,SA,Project,Baroota Pumped Hydro Project,ACEN Renewables,Hydro - Water,2,125,250,0.0, Publicly Announced , Water ,Full Commercial Use Date,2025.0
15,VIC,Existing Plant,Berrybank Wind Farm,Berrbank Development Pty ltd,Wind - Wind,43,4.2,180.6,, In Service , Wind ,Full Commercial Use Date,2021.0
